Title,Color,Description,Brand,Pictures,Price,Sale Price,Precent Off,Sizes,WebID
"Men's Classic-Fit Ivy Polo, Created for Macy's",Tommy Black,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/8/optimized/76578_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15346843_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/5/optimized/15346845_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15346846_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Regal Red,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/3/optimized/49683_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/8786798_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/5/optimized/15348065_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348070_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15348071_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Navy Blaze Heather,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/5/optimized/346295_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15347110_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15347111_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/2/optimized/15347112_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Classic Navy,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/5/optimized/45505_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/4/optimized/15348034_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15348041_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15348046_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Malaga Blue Heather,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/4/optimized/125284_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15347126_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/4/optimized/15347134_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/5/optimized/15347135_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Medium Chambray Heather,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/0/optimized/3611780_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/2/optimized/3611762_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Medium Grey Heather,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/2/optimized/349152_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/8555858_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Pebble Pink,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/3/optimized/8816343_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/8816340_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15348183_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/7/optimized/15348187_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Classic-Fit Ivy Polo, Created for Macy's",Classic White,Looking for go-to shirts for casual occasions? Stock up on polos from Tommy Hilfiger - in various shades - for easygoing weekend outfits.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15349246_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/6/optimized/117676_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15346930_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/2/optimized/15346932_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15346933_fpx.tif,49.5,39.99,19,XS/S/M/L/XL/2XL/3XL,5005529
"Men's Custom Fit Ivy Polo, Created for Macy's",Regal Red,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/0/optimized/360810_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/8786798_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15348726_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/7/optimized/15348727_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
